mayor|0,4,7
b5|0,4,6
+|0,4,8
-|0,3,7
dim|0,3,6
- #5|0,3,8
sus2|0,2,7
sus4|0,5,7
sus4/b5|0,5,6
sus4/#5|0,5,8
6|0,4,7,9
6/b5|0,4,6,9
6/#5|0,4,8,9
-6|0,3,7,9
-6/#5|0,3,8,9
maj7|0,4,7,11
maj7/b5|0,4,6,11
+maj7|0,4,8,11
7|0,4,7,10
7/b5|0,4,6,10
+7|0,4,8,10
-7|0,3,7,10
-7/b5|0,3,6,10
-7/#5|0,3,8,10
dim7|0,3,6,9
sus4/7|0,5,7,10
sus4/7/b5|0,5,6,10
sus4/7/#5|0,5,8,10
-maj7|0,3,7,11
-maj7/b5|0,3,6,11
-maj7/#5|0,3,8,11
add9|0,2,4,7
add9/b5|0,2,4,6
add9/#5|0,2,4,8
7/9|0,2,4,7,10
7/9/b5|0,2,4,6,10
7/9/#5|0,2,4,8,10
7/b9|0,1,4,7,10
7/b9/b5|0,1,4,6,10
7/b9/#5|0,1,4,8,10
7/#9|0,3,4,7,10
7/#9/b5|0,3,4,6,10
7/#9/#5|0,3,4,8,10
maj7/9|0,2,4,7,11
maj7/9/b5|0,2,4,6,11
maj7/9/#5|0,2,4,8,11
maj7/6/9|0,2,4,7,9,11
maj7/6/9/b5|0,2,4,6,9,11
maj7/9/#11|0,2,4,6,7,11
maj7/6/9/#11|0,2,4,6,7,9,11
7/9/#11|0,2,4,6,7,10
7/9/#11/13|0,2,4,6,7,9,10
7/b9/b13|0,1,4,7,8,10
sus4/7/9|0,2,5,7,10
-7/9|0,2,3,7,10
-7/9/11|0,2,3,5,7,10
