Guitarra Estandard|4,11,7,2,9,4
Guitarra Open A|4,1,9,4,9,4
Guitarra Open C|4,0,7,0,7,0
Guitarra Open D|2,9,6,2,9,2
Guitarra Open E|4,11,8,4,11,4
Guitarra Open G|2,11,7,2,7,2
Bajo|7,2,9,4
Bajo 5 cuerdas|7,2,9,4,0
Balalaika|4,11,11
Bandola|9,4,11,6,1,8
Bandolon|7,2,9,4,11,5,5
Bandurria|9,4,11,6,1,8
Banjo 1|2,11,7,0
Banjo 2|2,11,7,2
Banjo 3|9,2,7,0
Banjo 4|2,11,7,11
Banjo 5|4,11,7,2
Banjo 6|2,11,7,0,7
Banjo 7|2,11,7,11,9
Banjo 8|4,9,2,7,11,4
Bozouki 1|2,9,2
Bozouki 2|2,9,5,11
Cavaquinho|2,11,7,2
Charango|4,9,4,0,7
Cuatro|11,5,2,9
Dulcimer|2,9,2
Guitarra Portugesa|7,4,0,7,4,0
Guitarra Portugesa-8 Cuerdas|4,11,7,2,9,4,2,0
Guitarro|11,6,2,9,2
Guitarra hawayana en A|4,1,9,4,11,4
Guitarra hawayana en E|4,1,11,8,4,2
Guitarra hawayana en F|4,0,7,0,5,0
Guitarra hawayana en G|2,11,7,2,7,2
Guitarra hawayana-8 Cuerdas|4,1,11,8,4,2,11,4
Afinacion flamenca|4,11,6,2,9,2
Jarana|4,11,7,2,9
Laud|9,4,11,6,1,8
Mandola|4,11,4,11
Mandolina 1|4,9,2,7
Mandolina 2|4,11,7,2
Sitar 1|6,1,8,1,8,1,1
Sitar 2|5,0,0,7,0,7,0
Sitar 3|0,0,7,0,7,0,5
Steel guitar-6 cuerdas|4,1,9,4,9,4
Steel guitar-8 cuerdas|4,1,9,7,4,0,9,7
Steel guitar-9 cuerdas|8,4,1,9,6,4,1,9,6
Timple|2,9,4,0,7
Tres 1|4,0,7
Tres 2|4,11,7
Tres 3|5,2,9
Ukelele 1|4,11,7,2
Ukelele 2|11,6,2,9
Vihuela-4 cuerdas|4,11,7,2
Vihuela-5 cuerdas|4,11,7,2,9
Vihuela-6 cuerdas|9,4,11,2,9
Vihuela-7 cuerdas|7,5,0,7,5,0,7
Vihuelita|4,11,7,2,9
