octavas|0
todo el trastero|0,1,2,3,4,5,6,7,8,9,10,11
mayor|0,2,4,5,7,9,11
jonica|0,2,4,5,7,9,11
etiope 1|0,2,4,5,7,9,11
dorica|0,2,3,5,7,9,10
frigia|0,1,3,5,7,8,10
menor|0,2,3,5,7,8,10
eolica|0,2,3,5,7,8,10
etiope 2|0,2,3,5,7,8,10
etiope 3|0,2,4,5,7,8,11
armonica mayor|0,2,4,5,7,8,11
arabe 2|0,2,3,5,6,8,9,11
disminuida 1|0,2,3,5,6,8,9,11
hungara mayor 1|0,3,4,6,7,9,10
disminuida 2|0,3,4,6,7,9,10
disminuida 3|0,1,3,4,6,7,9,10
doble armonica|0,1,4,5,7,8,11
cingara mayor 1|0,1,4,5,7,8,11
persa 2|0,1,4,5,7,8,11
bizantina 2|0,1,4,5,7,8,11
hispano-arabe|0,1,4,5,7,8,11
enigmatica 1|0,1,3,5,8
balinesa 1|0,1,3,5,8
javanesa 1|0,1,3,5,8
frigia #6|0,1,3,5,7,9,10
javanesa 2|0,1,3,5,7,9,10
locria mayor|0,2,4,5,6,8,10
arabe 1|0,2,4,5,6,8,10
frigia mayor|0,1,4,5,7,8,10
israeli 2|0,1,4,5,7,8,10
bizantina 1|0,1,4,5,7,8,10
menor armonica|0,2,3,5,7,8,11
mahometana|0,2,3,5,7,8,11
hawayana 1|0,2,3,7,9,11
menor melodica|0,2,3,5,7,9,11
jazz menor|0,2,3,5,7,9,11
hawayana 2|0,2,3,5,7,9,11
lidia|0,2,4,6,7,9,11
mixolidia|0,2,4,5,7,9,10
mixolidia cromatica|0,1,2,5,6,7,10
mixolidia aumentada|0,2,4,5,8,9,10
mixolidia hexatonica|0,2,5,7,9,10
lidia aumentada|0,2,4,6,8,9,11
lidia b7|0,2,4,6,7,9,10
overtone|0,2,4,6,7,9,10
lidia disminuida|0,2,3,6,7,9,11
locria|0,1,3,5,6,8,10
pentatonica mayor 1|0,2,4,7,9
china 2|0,2,4,7,9
mongolica|0,2,4,7,9
coreana 1|0,2,4,7,9
pentatonica mayor 2|0,2,4,7,11
pentatonica alt.b2|0,1,4,7,9
skriabin 2|0,1,4,7,9
pentatonica alt. b5|0,2,4,6,9
pentatonica alt. b6|0,2,4,7,8
pentatonica alt.b3/b6|0,2,3,7,8
pentatonica menor 1|0,3,5,7,10
pentatonica menor 2|0,2,3,7,9
pentatonica menor 3|0,3,5,6,10
pentatonica menor 4|0,2,3,7,10
pentatonica de dominante|0,2,4,7,10
pentatonica de dominante|0,4,5,7,10
simetrica 1|0,2,3,5,6,8,9,11
simetrica 2|0,1,3,4,6,7,9,10
simetrica 3|0,1,2,4,5,6,7,8,10,11
algeriana|0,2,3,5,6,7,8,11
hungara menor 2|0,2,3,6,7,8,11
balinesa 2|0,1,3,7,8
cingara mayor 2|0,1,4,6,7,8,10
hungara mayor 2|0,1,4,6,7,8,10
coreana 2|0,2,5,7,9,10
dom. sus 4|0,2,5,7,9,10
china 1|0,4,6,7,11
egipcia|0,2,5,7,10
pentatonica neutral 1|0,2,5,7,10
pentatonica neutral 2|0,1,5,7,9
enigmatica 2|0,1,4,6,8,11
espa~ola octotonica|0,1,3,4,5,6,8,10
espa~ola hexatonica|0,1,4,5,7,10
indostan|0,2,4,5,7,8,10
hungara menor 1|0,2,3,6,7,8,10
napolitana 3|0,1,3,5,7,8,11
israeli 1|0,1,3,4,6,8,9,11
javanesa 3|0,1,3,7,8
napolitana 1|0,1,4,6,9,10
napolitana 2|0,1,3,5,7,9,11
oriental 1|0,1,4,5,6,8,10
oriental 2|0,1,4,5,6,9,10
pelog|0,1,3,7,10
persa 1|0,1,4,5,6,8,11
rumana|0,2,3,6,7,9,10
skriabin 1|0,2,4,6,9,10
tcherepnin|0,1,3,4,5,7,8,9,11
tonal|0,2,4,6,8,10
leading whole tone|0,2,4,6,8,10,11
alterada|0,1,3,4,6,8,10
blues 1|0,3,5,6,7,10
blues 2|0,3,5,6,7,10,11
blues 3|0,2,3,4,5,6,7,9,10,11
blues 4|0,1,3,4,6,7,9,10
blues 5|0,2,3,5,6,7,10
blues 6|0,2,3,5,6,7,9,10
blues 7|0,3,4,5,6,7,10,11
blues 8|0,2,3,4,5,6,7,9,10
blues 9|0,3,4,5,6,7,9,10,11
blues 10|0,3,4,5,7,8,10
tritonica o teoria de los 3 acordes|0,5,7
tetratonica|0,5,6,11
cromatica|0,1,2,3,4,5,6,7,8,9,10,11
dorica alterada|0,2,3,5,6,8,10
flamenca|0,1,4,5,7,8,10
aumentada 1|0,3,4,7,8,11
aumentada 2|0,3,4,7,8,10
aumentada 3|0,2,4,6,8,10
